order_id,customer_id,order_date,order_status,shipping_city,shipping_country
1,12,2025-02-23,shipped,Kharkiv,Ukraine
2,4,2025-04-01,processing,Dnipro,Ukraine
3,14,2025-06-08,shipped,Poltava,Ukraine
4,8,2025-02-11,returned,Poltava,Ukraine
5,6,2025-04-16,delivered,Dnipro,Ukraine
6,11,2025-04-16,processing,Odesa,Ukraine
7,8,2025-03-10,delivered,Poltava,Ukraine
8,4,2025-04-08,cancelled,Dnipro,Ukraine
9,16,2025-02-26,delivered,Odesa,Ukraine
10,15,2025-03-31,delivered,Lviv,Ukraine
11,8,2025-02-27,delivered,Poltava,Ukraine
12,7,2025-04-13,delivered,Vinnytsia,Ukraine
13,3,2025-03-13,delivered,Kharkiv,Ukraine
14,17,2025-04-13,shipped,Kharkiv,Ukraine
15,18,2025-03-26,cancelled,Poltava,Ukraine
16,4,2025-03-08,delivered,Dnipro,Ukraine
17,9,2025-01-10,delivered,Poltava,Ukraine
18,14,2025-03-30,shipped,Poltava,Ukraine
19,11,2025-04-22,shipped,Odesa,Ukraine
20,17,2025-01-30,delivered,Kharkiv,Ukraine
21,19,2025-02-18,delivered,Kharkiv,Ukraine
22,14,2025-01-01,delivered,Poltava,Ukraine
23,18,2025-06-25,shipped,Poltava,Ukraine
24,7,2025-04-04,delivered,Vinnytsia,Ukraine
25,11,2025-06-09,delivered,Odesa,Ukraine
26,4,2025-03-18,delivered,Dnipro,Ukraine
27,14,2025-03-25,delivered,Poltava,Ukraine
28,10,2025-05-22,delivered,Odesa,Ukraine
29,14,2025-06-20,cancelled,Poltava,Ukraine
30,6,2025-06-07,delivered,Dnipro,Ukraine
31,13,2025-05-21,processing,Vinnytsia,Ukraine
32,10,2025-03-15,delivered,Odesa,Ukraine
33,19,2025-06-05,shipped,Kharkiv,Ukraine
34,15,2025-04-24,delivered,Lviv,Ukraine
35,7,2025-05-11,delivered,Vinnytsia,Ukraine
36,6,2025-06-18,delivered,Dnipro,Ukraine
37,17,2025-06-19,shipped,Kharkiv,Ukraine
38,11,2025-01-24,processing,Odesa,Ukraine
39,8,2025-06-22,delivered,Poltava,Ukraine
40,7,2025-02-07,delivered,Vinnytsia,Ukraine
41,8,2025-05-02,shipped,Poltava,Ukraine
42,3,2025-04-27,delivered,Kharkiv,Ukraine
43,19,2025-02-19,shipped,Kharkiv,Ukraine
44,13,2025-05-07,delivered,Vinnytsia,Ukraine
45,5,2025-06-17,shipped,Odesa,Ukraine
46,4,2025-04-19,delivered,Dnipro,Ukraine
47,17,2025-04-29,delivered,Kharkiv,Ukraine
48,8,2025-02-01,delivered,Poltava,Ukraine
49,15,2025-06-20,delivered,Lviv,Ukraine
50,18,2025-06-02,delivered,Poltava,Ukraine
51,15,2025-06-06,processing,Lviv,Ukraine
52,17,2025-04-20,processing,Kharkiv,Ukraine
53,18,2025-04-25,cancelled,Poltava,Ukraine
54,16,2025-04-26,delivered,Odesa,Ukraine
55,8,2025-06-13,delivered,Poltava,Ukraine
56,17,2025-05-05,shipped,Kharkiv,Ukraine
57,9,2025-04-23,delivered,Poltava,Ukraine
58,10,2025-03-02,delivered,Odesa,Ukraine
59,11,2025-05-19,delivered,Odesa,Ukraine
60,5,2025-03-01,delivered,Odesa,Ukraine
61,5,2025-06-30,delivered,Odesa,Ukraine
62,14,2025-04-15,delivered,Poltava,Ukraine
63,15,2025-04-17,delivered,Lviv,Ukraine
64,14,2025-04-10,cancelled,Poltava,Ukraine
65,19,2025-06-28,delivered,Kharkiv,Ukraine
66,19,2025-04-08,delivered,Kharkiv,Ukraine
67,12,2025-03-18,processing,Kharkiv,Ukraine
68,14,2025-05-18,shipped,Poltava,Ukraine
69,18,2025-06-04,cancelled,Poltava,Ukraine
70,16,2025-02-26,delivered,Odesa,Ukraine
71,16,2025-01-08,delivered,Odesa,Ukraine
72,13,2025-02-12,processing,Vinnytsia,Ukraine
73,5,2025-06-09,delivered,Odesa,Ukraine
74,13,2025-06-01,delivered,Vinnytsia,Ukraine
75,1,2025-01-22,shipped,Vinnytsia,Ukraine
76,5,2025-04-29,delivered,Odesa,Ukraine
77,9,2025-04-08,delivered,Poltava,Ukraine
78,15,2025-03-25,delivered,Lviv,Ukraine
79,13,2025-03-13,processing,Vinnytsia,Ukraine
80,14,2025-03-06,processing,Poltava,Ukraine
