payment_id,order_id,payment_date,payment_method,payment_status,payment_amount
1,1,2025-02-24,google_pay,paid,60074.0
2,2,2025-04-02,apple_pay,paid,16800.0
3,3,2025-06-08,cash_on_delivery,paid,57636.0
4,4,2025-02-13,apple_pay,refunded,64563.0
5,5,2025-04-16,apple_pay,paid,12490.0
6,6,2025-04-16,cash_on_delivery,paid,93098.0
7,7,2025-03-12,apple_pay,paid,16800.0
8,9,2025-02-28,apple_pay,paid,267344.0
9,10,2025-03-31,cash_on_delivery,paid,6118.0
10,11,2025-03-01,google_pay,paid,7701.0
11,12,2025-04-14,google_pay,paid,2388.0
12,13,2025-03-15,card,paid,24789.0
13,14,2025-04-14,google_pay,paid,165472.0
14,15,2025-03-26,cash_on_delivery,failed,0.0
15,16,2025-03-09,google_pay,paid,179965.0
16,17,2025-01-12,cash_on_delivery,paid,24834.0
17,18,2025-04-01,google_pay,paid,169878.0
18,19,2025-04-23,google_pay,paid,129404.0
19,20,2025-01-30,cash_on_delivery,paid,105928.0
20,21,2025-02-19,card,paid,21970.0
21,22,2025-01-01,cash_on_delivery,paid,163270.0
22,23,2025-06-27,google_pay,paid,117408.0
23,24,2025-04-06,google_pay,paid,17841.0
24,25,2025-06-11,google_pay,paid,64404.0
25,26,2025-03-18,cash_on_delivery,paid,52562.0
26,27,2025-03-26,card,paid,95622.0
27,28,2025-05-24,card,paid,106344.0
28,29,2025-06-22,google_pay,refunded,51795.0
29,30,2025-06-07,google_pay,paid,37545.0
30,31,2025-05-21,apple_pay,paid,67217.0
31,32,2025-03-17,google_pay,paid,114568.0
32,33,2025-06-07,apple_pay,paid,161817.0
33,34,2025-04-26,card,paid,20161.0
34,35,2025-05-13,card,paid,36477.0
35,36,2025-06-19,cash_on_delivery,paid,37310.0
36,37,2025-06-19,google_pay,paid,83712.0
37,38,2025-01-26,apple_pay,paid,16800.0
38,39,2025-06-22,google_pay,paid,18405.0
39,40,2025-02-08,cash_on_delivery,paid,9508.0
40,41,2025-05-02,apple_pay,paid,42832.0
41,42,2025-04-27,google_pay,paid,36177.0
42,43,2025-02-21,google_pay,paid,47112.0
43,44,2025-05-07,google_pay,paid,73524.0
44,45,2025-06-18,google_pay,paid,15704.0
45,46,2025-04-21,google_pay,paid,9406.0
46,47,2025-04-29,cash_on_delivery,paid,113598.0
47,48,2025-02-01,apple_pay,paid,105655.0
48,49,2025-06-20,cash_on_delivery,paid,20722.0
49,50,2025-06-04,google_pay,paid,63517.0
50,51,2025-06-06,cash_on_delivery,paid,50400.0
51,52,2025-04-20,google_pay,paid,79642.0
52,53,2025-04-26,google_pay,refunded,65721.0
53,54,2025-04-28,cash_on_delivery,paid,76550.0
54,55,2025-06-15,google_pay,paid,106149.0
55,56,2025-05-05,apple_pay,paid,97653.0
56,57,2025-04-24,card,paid,155821.0
57,58,2025-03-04,google_pay,paid,165906.0
58,59,2025-05-21,apple_pay,paid,106484.0
59,60,2025-03-03,card,paid,9610.0
60,61,2025-07-02,cash_on_delivery,paid,2040.0
61,62,2025-04-17,google_pay,paid,212841.0
62,63,2025-04-19,cash_on_delivery,paid,113088.0
63,65,2025-06-28,card,paid,16990.0
64,66,2025-04-09,cash_on_delivery,paid,12851.0
65,67,2025-03-18,card,paid,35458.0
66,68,2025-05-18,apple_pay,paid,87960.0
67,70,2025-02-27,cash_on_delivery,paid,30744.0
68,71,2025-01-10,apple_pay,paid,87263.0
69,72,2025-02-13,card,paid,57508.0
70,73,2025-06-10,cash_on_delivery,paid,114452.0
71,74,2025-06-02,card,paid,6663.0
72,75,2025-01-24,google_pay,paid,140711.0
73,76,2025-04-29,cash_on_delivery,paid,183689.0
74,77,2025-04-09,apple_pay,paid,52415.0
75,78,2025-03-26,card,paid,15312.0
76,79,2025-03-15,google_pay,paid,39826.0
77,80,2025-03-08,google_pay,paid,52784.0
